	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP
Beorning lvl100																																																																	
First Beorning's Earring of Helm Hammerhand	192		239		205										2343	614												Necklace + Earring = +10% Execute Damage																																					
First Beorning's Necklace of Helm Hammerhand	192		239		205									614		768												Necklace + Earring = +10% Execute Damage																																					
Second Beorning's Bracelet of Helm Hammerhand	192		239		205			219						614	1406													Pocket + Bracelet + Ring = 10% chance on hit: +5% Melee Critical Chance. Duration: 12s																																					
Second Beorning's Ring of Helm Hammerhand	192		239		205									461		922												Pocket + Bracelet + Ring = 10% chance on hit: +5% Melee Critical Chance. Duration: 12s																																					
Second Beorning's Token of Helm Hammerhand	192		239		205			219						614		461												Pocket + Bracelet + Ring = 10% chance on hit: +5% Melee Critical Chance. Duration: 12s																																					
First Exquisite Beorning's Earring of Helm Hammerhand	192		273		239										2343	768												Necklace + Earring = +10% Execute Damage																																					
First Exquisite Beorning's Necklace of Helm Hammerhand	192		273		239									768		768												Necklace + Earring = +10% Execute Damage																																					
Second Exquisite Beorning's Bracelet of Helm Hammerhand	192		273		239			219						614	1874													Pocket + Bracelet + Ring = 10% chance on hit: +5% Melee Critical Chance. Duration: 12s																																					
Second Exquisite Beorning's Ring of Helm Hammerhand	192		273		239									614		922												Pocket + Bracelet + Ring = 10% chance on hit: +5% Melee Critical Chance. Duration: 12s																																					
Second Exquisite Beorning's Token of Helm Hammerhand	192		273		239			219						614		614												Pocket + Bracelet + Ring = 10% chance on hit: +5% Melee Critical Chance. Duration: 12s																																					
Third Beorning's Earring of Helm Hammerhand	192		205		239														1158				2074					Necklace + Earring = -5% Mitigated Damage																																					
Third Beorning's Necklace of Helm Hammerhand	192		205		239																	1037	2074					Necklace + Earring = -5% Mitigated Damage																																					
Fourth Beorning's Bracelet of Helm Hammerhand	192		205		239														1930				1382					Pocket + Bracelet + Ring = 10% chance on being hit: +5% Incoming Healing Modifier. Duration: 12s																																					
Fourth Beorning's Ring of Helm Hammerhand	192		205		239			547														1382						Pocket + Bracelet + Ring = 10% chance on being hit: +5% Incoming Healing Modifier. Duration: 12s																																					
Fourth Beorning's Token of Helm Hammerhand	192		205		239														1544				1728					Pocket + Bracelet + Ring = 10% chance on being hit: +5% Incoming Healing Modifier. Duration: 12s																																					
Third Exquisite Beorning's Earring of Helm Hammerhand	192		239		273			219						614		614												Necklace + Earring = -5% Mitigated Damage																																					
Third Exquisite Beorning's Necklace of Helm Hammerhand	192		239		273			219						614		614												Necklace + Earring = -5% Mitigated Damage																																					
Fourth Exquisite Beorning's Bracelet of Helm Hammerhand	192		239		273									614	2811													Pocket + Bracelet + Ring = 10% chance on being hit: +5% Incoming Healing Modifier. Duration: 12s																																					
Fourth Exquisite Beorning's Ring of Helm Hammerhand	192		239		273										2343	768												Pocket + Bracelet + Ring = 10% chance on being hit: +5% Incoming Healing Modifier. Duration: 12s																																					
Fourth Exquisite Beorning's Token of Helm Hammerhand	192		239		273									922		614												Pocket + Bracelet + Ring = 10% chance on being hit: +5% Incoming Healing Modifier. Duration: 12s																																					
Burglar lvl100																																																																	
First Burglar's Earring of Helm Hammerhand	192			239	205										2343	614												Necklace + Earring = +10% Positional Damage																																					
First Burglar's Necklace of Helm Hammerhand	192			239	205									614		768												Necklace + Earring = +10% Positional Damage																																					
Second Burglar's Bracelet of Helm Hammerhand	192			239	205				189					614	1406													Pocket + Bracelet + Ring = 10% chance on hit: +10% Critical Chance, +50% Critical Magnitude																																					
Second Burglar's Ring of Helm Hammerhand	192			239	205									461		922												Pocket + Bracelet + Ring = 10% chance on hit: +10% Critical Chance, +50% Critical Magnitude																																					
Second Burglar's Token of Helm Hammerhand	192			239	205			219						614		461												Pocket + Bracelet + Ring = 10% chance on hit: +10% Critical Chance, +50% Critical Magnitude																																					
First Exquisite Burglar's Earring of Helm Hammerhand	192			273	239										2343	768												Necklace + Earring = +10% Positional Damage																																					
First Exquisite Burglar's Necklace of Helm Hammerhand	192			273	239									768		768												Necklace + Earring = +10% Positional Damage																																					
Second Exquisite Burglar's Bracelet of Helm Hammerhand	192			273	239				189					614	1874													Pocket + Bracelet + Ring = 10% chance on hit: +10% Critical Chance, +50% Critical Magnitude																																					
Second Exquisite Burglar's Ring of Helm Hammerhand	192			273	239									614		922												Pocket + Bracelet + Ring = 10% chance on hit: +10% Critical Chance, +50% Critical Magnitude																																					
Second Exquisite Burglar's Token of Helm Hammerhand	192			273	239			219						614		614												Pocket + Bracelet + Ring = 10% chance on hit: +10% Critical Chance, +50% Critical Magnitude																																					
Third Burglar's Earring of Helm Hammerhand	192			205	239										2343	614												Necklace + Earring = +3 Stealth Level																																					
Third Burglar's Necklace of Helm Hammerhand	192			205	239									614		768												Necklace + Earring = +3 Stealth Level																																					
Fourth Burglar's Bracelet of Helm Hammerhand	192			205	239				189					614	1406													Pocket + Bracelet + Ring = 10% chance on being hit: +20% Parry Chance. Duration: 10s																																					
Fourth Burglar's Ring of Helm Hammerhand	192			205	239									461		922												Pocket + Bracelet + Ring = 10% chance on being hit: +20% Parry Chance. Duration: 10s																																					
Fourth Burglar's Token of Helm Hammerhand	192			205	239			219						614		461												Pocket + Bracelet + Ring = 10% chance on being hit: +20% Parry Chance. Duration: 10s																																					
Third Exquisite Burglar's Earring of Helm Hammerhand	192			239	273										2343	768												Necklace + Earring = +3 Stealth Level																																					
Third Exquisite Burglar's Necklace of Helm Hammerhand	192			239	273									768		768												Necklace + Earring = +3 Stealth Level																																					
Fourth Exquisite Burglar's Bracelet of Helm Hammerhand	192			239	273				189					614	1874													Pocket + Bracelet + Ring = 10% chance on being hit: +20% Parry Chance. Duration: 10s																																					
Fourth Exquisite Burglar's Ring of Helm Hammerhand	192			239	273									614		922												Pocket + Bracelet + Ring = 10% chance on being hit: +20% Parry Chance. Duration: 10s																																					
