	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes
#Set Bonuses																																																																			
#Supreme Armour of the Storm-bringer set bonus: 5 Equipped	282																																			=CHOISIR(CNUM(STXT(A3;CHERCHE("Equipped";A3)-2;1))+1;0;0;0;0;1;1;1)*0,15	=CHOISIR(CNUM(STXT(A3;CHERCHE("Equipped";A3)-2;1))+1;0;0;0;0;1;1;1)*0,15	=CHOISIR(CNUM(STXT(A3;CHERCHE("Equipped";A3)-2;1))+1;0;0;0;0;1;1;1)*0,15																													
#Supreme Armour of the Storm-bringer set bonus: 5 Equipped	258																																			=CHOISIR(CNUM(STXT(A4;CHERCHE("Equipped";A4)-2;1))+1;0;0;0;0;1;1;1)*0,15	=CHOISIR(CNUM(STXT(A4;CHERCHE("Equipped";A4)-2;1))+1;0;0;0;0;1;1;1)*0,15	=CHOISIR(CNUM(STXT(A4;CHERCHE("Equipped";A4)-2;1))+1;0;0;0;0;1;1;1)*0,15																													
#Greater Armour of the Storm-bringer set bonus: 5 Equipped	234																																			=CHOISIR(CNUM(STXT(A5;CHERCHE("Equipped";A5)-2;1))+1;0;0;0;0;1;1;1)*0,15	=CHOISIR(CNUM(STXT(A5;CHERCHE("Equipped";A5)-2;1))+1;0;0;0;0;1;1;1)*0,15	=CHOISIR(CNUM(STXT(A5;CHERCHE("Equipped";A5)-2;1))+1;0;0;0;0;1;1;1)*0,15																													
#Armour of the Honed Blade set bonus: 5 Equipped	222		=CHOISIR(CNUM(STXT(A6;CHERCHE("Equipped";A6)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Might";B6;2)																																																																
#Armour of the Martial Defender set bonus: 5 Equipped	222		=CHOISIR(CNUM(STXT(A7;CHERCHE("Equipped";A7)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Might";B7;2)																																																																
#Armour of the Resolute Leader set bonus: 5 Equipped	222		=CHOISIR(CNUM(STXT(A8;CHERCHE("Equipped";A8)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Might";B8;2)																																																																
#Armour of the Shadow-bane set bonus: 5 Equipped	222		=CHOISIR(CNUM(STXT(A9;CHERCHE("Equipped";A9)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Might";B9;2)																																																																
#Armour of the Siege-breaker set bonus: 5 Equipped	222		=CHOISIR(CNUM(STXT(A10;CHERCHE("Equipped";A10)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Might";B10;2)																																																																
#Armour of the Steadfast Renewer set bonus: 5 Equipped	222		=CHOISIR(CNUM(STXT(A11;CHERCHE("Equipped";A11)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Might";B11;2)																																																																
