	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes
Ears																																																																	
Empowered Earring of the Battle-readied Warrior (3s):	282		=CALCSLICE("Might";B3;3)					=CALCSLICE("Morale";B3;0,8)																																																										Ears	BeCaChGuWa
Empowered Earring of the Deft Watcher (3s):	282			=CALCSLICE("Agility";B4;3)				=CALCSLICE("Morale";B4;0,8)																																																										Ears	BuHuWa
Empowered Earring of the Willful Defender (3s):	282					=CALCSLICE("Will";B5;3)		=CALCSLICE("Morale";B5;0,8)																																																										Ears	LoMiRu
Master-provisioner's Earring of the Battle-readied Warrior (3s):	258		=CALCSLICE("Might";B6;3)					=CALCSLICE("Morale";B6;0,8)																																																										Ears	BeCaChGuWa
Master-provisioner's Earring of the Deft Watcher (3s):	258			=CALCSLICE("Agility";B7;3)				=CALCSLICE("Morale";B7;0,8)																																																										Ears	BuHuWa
Master-provisioner's Earring of the Willful Defender (3s):	258					=CALCSLICE("Will";B8;3)		=CALCSLICE("Morale";B8;0,8)																																																										Ears	LoMiRu
Delicate Agate Earring of Ithilien's Bounty (3s):	246					=CALCSLICE("Will";B9;2)		=CALCSLICE("Morale";B9;0,8)																																																										Ears	LoMiRu
Earring of the Battle-readied Warrior (3s):	246		=CALCSLICE("Might";B10;2)					=CALCSLICE("Morale";B10;0,8)																																																										Ears	BeCaChGuWa
Earring of the Deft Watcher (3s):	246			=CALCSLICE("Agility";B11;2)				=CALCSLICE("Morale";B11;0,8)																																																										Ears	BuHuWa
Earring of the Willful Defender (3s):	246					=CALCSLICE("Will";B12;2)		=CALCSLICE("Morale";B12;0,8)																																																										Ears	LoMiRu
Heavy Garnet Earring of Ithilien's Bounty (3s):	246		=CALCSLICE("Might";B13;2)					=CALCSLICE("Morale";B13;0,8)																																																										Ears	BeCaChGuWa
