	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes
#Set Bonuses																																																																			
#Supreme Raiments of the Peace-mender set bonus: 5 Equipped	282																																		=CHOISIR(CNUM(STXT($A3;CHERCHE("Equipped";$A3)-2;1))+1;0;0;1;1;1;1;1)*0,05																																
#Supreme Trappings of the Vigilant Watcher set bonus: 5 Equipped	282																																		=CHOISIR(CNUM(STXT($A4;CHERCHE("Equipped";$A4)-2;1))+1;0;0;1;1;1;1;1)*0,05																																
#Supreme Raiments of the Peace-mender set bonus: 5 Equipped	258																																		=CHOISIR(CNUM(STXT($A5;CHERCHE("Equipped";$A5)-2;1))+1;0;0;1;1;1;1;1)*0,05																																
	105																																																																		
#Supreme Trappings of the Vigilant Watcher set bonus: 5 Equipped	258																																		=CHOISIR(CNUM(STXT($A7;CHERCHE("Equipped";$A7)-2;1))+1;0;0;1;1;1;1;1)*0,05																																
#Greater Raiments of the Peace-mender set bonus: 5 Equipped	234																																		=CHOISIR(CNUM(STXT($A8;CHERCHE("Equipped";$A8)-2;1))+1;0;0;1;1;1;1;1)*0,05																																
#Greater Trappings of the Vigilant Watcher set bonus: 5 Equipped	234																																		=CHOISIR(CNUM(STXT($A9;CHERCHE("Equipped";$A9)-2;1))+1;0;0;1;1;1;1;1)*0,05																																
#Garb of the Fury-wielder set bonus: 5 Equipped	222					=CHOISIR(CNUM(STXT(A10;CHERCHE("Equipped";A10)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Will";B10;2)																																																													
#Garb of the Knowledge-seeker set bonus: 5 Equipped	222					=CHOISIR(CNUM(STXT(A11;CHERCHE("Equipped";A11)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Will";B11;2)																																																													
#Garb of the Nature-friend set bonus: 5 Equipped	222					=CHOISIR(CNUM(STXT(A12;CHERCHE("Equipped";A12)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Will";B12;2)																																																													
#Raiments of the Flame-scourer set bonus: 5 Equipped	222					=CHOISIR(CNUM(STXT(A13;CHERCHE("Equipped";A13)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Will";B13;2)																																																													
#Raiments of the Peace-mender set bonus: 5 Equipped	222					=CHOISIR(CNUM(STXT(A14;CHERCHE("Equipped";A14)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Will";B14;2)																													=CHOISIR(CNUM(STXT($A14;CHERCHE("Equipped";$A14)-2;1))+1;0;0;0;0;1;1;1)*0,05																																
#Raiments of the Thunder-wielder set bonus: 5 Equipped	222					=CHOISIR(CNUM(STXT(A15;CHERCHE("Equipped";A15)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Will";B15;2)																																																													
#Trappings of the Harmonious Protector set bonus: 5 Equipped	222					=CHOISIR(CNUM(STXT(A16;CHERCHE("Equipped";A16)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Will";B16;2)																																																													
