	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes
#Set Bonuses																																																																			
#Supreme Armour of the Fearless Soldier set bonus: 5 Equipped	282																																																	=CHOISIR(CNUM(STXT(A3;CHERCHE("Equipped";A3)-2;1))+1;0;0;0;0;1;1;1)*0,05																	
#Supreme Armour of the Fearless Soldier set bonus: 5 Equipped	258																																																	=CHOISIR(CNUM(STXT(A4;CHERCHE("Equipped";A4)-2;1))+1;0;0;0;0;1;1;1)*0,05																	
#Greater Armour of the Fearless Soldier set bonus: 5 Equipped	234																																																	=CHOISIR(CNUM(STXT(A5;CHERCHE("Equipped";A5)-2;1))+1;0;0;0;0;1;1;1)*0,05																	
#Armour of the Fearless Soldier set bonus: 5 Equipped	222			=CHOISIR(CNUM(STXT(A6;CHERCHE("Equipped";A6)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Agility";B6;2)																																																															
#Armour of the Shield-splinterer set bonus: 5 Equipped	222			=CHOISIR(CNUM(STXT(A7;CHERCHE("Equipped";A7)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Agility";B7;2)																																																															
#Armour of the Unshakeable Spear set bonus: 5 Equipped	222			=CHOISIR(CNUM(STXT(A8;CHERCHE("Equipped";A8)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Agility";B8;2)																																																															
#Battle-dress of the Hidden Blade set bonus: 5 Equipped	222			=CHOISIR(CNUM(STXT(A9;CHERCHE("Equipped";A9)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Agility";B9;2)																																																															
#Battle-dress of the Luck-maker set bonus: 5 Equipped	222			=CHOISIR(CNUM(STXT(A10;CHERCHE("Equipped";A10)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Agility";B10;2)																																																															
#Battle-dress of the Trickster set bonus: 5 Equipped	222			=CHOISIR(CNUM(STXT(A11;CHERCHE("Equipped";A11)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Agility";B11;2)																																																															
#Battle-gear of the Fierce Skin-changer set bonus: 5 Equipped	222		=CHOISIR(CNUM(STXT(A12;CHERCHE("Equipped";A12)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Might";B12;2)																																																																
#Battle-gear of the Resilient Skin-changer set bonus: 5 Equipped	222		=CHOISIR(CNUM(STXT(A13;CHERCHE("Equipped";A13)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Might";B13;2)																																																																
#Battle-gear of the Tenacious Skin-changer set bonus: 5 Equipped	222		=CHOISIR(CNUM(STXT(A14;CHERCHE("Equipped";A14)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Might";B14;2)																																																																
#The Clever Trapper's Battle-gear set bonus: 5 Equipped	222			=CHOISIR(CNUM(STXT(A15;CHERCHE("Equipped";A15)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Agility";B15;2)																																																															
#The Precise Bowmaster's Battle-gear set bonus: 5 Equipped	222			=CHOISIR(CNUM(STXT(A16;CHERCHE("Equipped";A16)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Agility";B16;2)																																																															
#The Sure-footed Huntsman's Battle-gear set bonus: 5 Equipped	222			=CHOISIR(CNUM(STXT(A17;CHERCHE("Equipped";A17)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Agility";B17;2)																																																															
#Armour of a Beorning's Recollection set bonus: 4 Equipped	222																																																=CHOISIR(CNUM(STXT(A18;CHERCHE("Equipped";A18)-2;1))+1;0;0;1;1;1;1;1)*0,1																		
#Armour of a Burglar's Recollection set bonus: 4 Equipped	222																																																=CHOISIR(CNUM(STXT(A19;CHERCHE("Equipped";A19)-2;1))+1;0;0;1;1;1;1;1)*0,1																		
#Armour of a Hunter's Recollection set bonus: 4 Equipped	222																																																=CHOISIR(CNUM(STXT(A20;CHERCHE("Equipped";A20)-2;1))+1;0;0;1;1;1;1;1)*0,1																		
#Armour of a Warden's Recollection set bonus: 4 Equipped	222																																																=CHOISIR(CNUM(STXT(A21;CHERCHE("Equipped";A21)-2;1))+1;0;0;1;1;1;1;1)*0,1																		
#Pelennor Ambusher's Armour: 4 Equipped	222																																							=CHOISIR(CNUM(STXT(A22;CHERCHE("Equipped";A22)-2;1))+1;0;0;1;1;1;1;1)*0,1																											
#Pelennor Battle-outrider's Armour: 4 Equipped	222																																								=CHOISIR(CNUM(STXT(A23;CHERCHE("Equipped";A23)-2;1))+1;0;0;1;1;1;1;1)*0,1																										
#Pelennor Juggernaut's Armour: 4 Equipped	222																																							=CHOISIR(CNUM(STXT(A24;CHERCHE("Equipped";A24)-2;1))+1;0;0;1;1;1;1;1)*0,1																											
#Pelennor War-bear's Armour: 4 Equipped	222																																							=CHOISIR(CNUM(STXT(A25;CHERCHE("Equipped";A25)-2;1))+1;0;0;1;1;1;1;1)*0,1																											
