	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP
Burglar Signals																																																																	
Ornate Signal of the Veteran Burglar (1s):	246			112				1030	633							1574																																																	
Anórien Conviction Signal	201			90				809	499	266,9																																																							
Anórien Guile Signal	201			90				809	499					1286																																																			
Anórien Strength Signal	201			90				809	499							1286																																																	
Anórien Tactics Signal	201			90				809	499			145																																																					
Captain Standards																																																																	
Finely-woven Standard of the Veteran Captain (1s):	246							1472								13540																								5,0%																									
Intricately Wrought Anórien Standard of Hope	201							3255								8844																																																	
Intricately Wrought Eorlingas Standard of Hope	95							2335								4268																																																	
Intricately Wrought Westemnet Standard of Hope	90							2135								4048																																																	
Intricately Wrought Riddermark Standard of Hope	85							1935								3828																																																	
Intricately Wrought Eastemnet Standard of Hope	80							1735								3608																																																	
Intricately Wrought Westfold Standard of Hope	75							1535								3388																																																	
Intricately Wrought Dunland Standard of Hope	70							1335								3168																																																	
Intricately Wrought Anórien Standard of Victory	201							1627	1022							8844																																																	
Intricately Wrought Eorlingas Standard of Victory	95							1168	746							4268																																																	
Intricately Wrought Westemnet Standard of Victory	90							1068	686							4048																																																	
Intricately Wrought Riddermark Standard of Victory	85							968	626							3828																																																	
Intricately Wrought Eastemnet Standard of Victory	80							868	566							3608																																																	
Intricately Wrought Westfold Standard of Victory	75							768	506							3388																																																	
Intricately Wrought Dunland Standard of Victory	70							668	446							3168																																																	
Intricately Wrought Anórien Standard of War	201							1627								11063																								5,0%																									
Intricately Wrought Eorlingas Standard of War	95							1168								5339																								5,0%																									
Intricately Wrought Westemnet Standard of War	90							1068								5063																								5,0%																									
Intricately Wrought Riddermark Standard of War	85							968								4788																								5,0%																									
Intricately Wrought Eastemnet Standard of War	80							868								4513																								5,0%																									
Intricately Wrought Westfold Standard of War	75							768								4238																								5,0%																									
Intricately Wrought Dunland Standard of War	70							668								3963																								5,0%																									
Hunter Tomes																																																																	
Finely-bound Tome of the Veteran Hunter (1s):	246			405				1472																				-12% Bow Skills Power Cost																																					
Anórien Tome of the Wind-rider	201								997																			-12% Bow Skills Power Cost																																					
Westemnet Tome of the Wind-rider	95								365																			-12% Bow Skills Power Cost																																					
Eastemnet Tome of the Wind-rider	85								305																			-12% Bow Skills Power Cost																																					
Westfold Tome of the Wind-rider	75								245																			-12% Bow Skills Power Cost																																					
Anórien Tome of the Whisper-draw	201							1156																																																									
Westemnet Tome of the Whisper-draw	95							413																				Greatly reduces threat during ranged combat																																					
Eastemnet Tome of the Whisper-draw	85							343																				Greatly reduces threat during ranged combat																																					
Westfold Tome of the Whisper-draw	75							272																				Greatly reduces threat during ranged combat																																					
Lore-master Brooches																																																																	
Ornate Stickpin of the Veteran Lore-master (1s):	246					225		736																				+600 In-combat morale regen for companions;+656 Critical Rating for companions.																																					
(1879328107) Engraved Zircon Stickpin of Rage	201							1156	997																			+656 Critical Rating for companions.																																					
(1879328104) Engraved Zircon Stickpin of Regrowth	201							1156	997																			+630 In-combat morale regen for companions, +8000 Evade Rating for companions.																																					
Minstrel Instruments																																																																	
Finely-strung Lute of the Veteran Minstrel (1s):	246							1472	1266																			+30% Ballad and Coda Damage;+3.5% Critical Chance of Ballads;+3.5% Coda Critical Chance;+3.5% Healing;+24% Critical Healing Mod																																					
Exquisite Walnut Drum of the Battle-singer	90							378	335																			+30% Ballad and Coda Damage;-15% Ballad Power Cost;-15% Cry Power Cost																																					
Exquisite Walnut Theorbo of the Battle-singer	90							378	335																			+30% Ballad and Coda Damage;-15% Ballad Power Cost;-15% Cry Power Cost																																					
Exquisite Walnut Clarinet of Resolve	90							378	335																			+3.5% Healing;+24% Critical Healing Mod;-15% Healing Skills Power Cost																																					
Exquisite Oaken Flute of Resolve	80							307	275																			+3.5% Healing;+24% Critical Healing Mod;-15% Healing Skills Power Cost																																					
Exquisite Premium Flute of Resolve	70							237	215																			+3.5% Healing;+24% Critical Healing Mod;-15% Healing Skills Power Cost																																					
Rune-keeper Chisels																																																																	
Inscribed Riffler of the Veteran Rune-keeper (1s):	246					180		1472									2952											-5% All Threat																																					
Exceptional Anórien Chisel	201							1156	499						970		1608																																																
