	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	OutHeal	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	LoE	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes	MinLvl	MaxLvl	CategoryId	QualityId	SlotId	ClassId	EssSlots	SliceTot	SliceChk
- Abyssal Essence of Agility	337			340																										1879347040																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Block	337																					6624								1879346996																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Critical Defense	337																			7386										1879346981																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Critical Rating	337													2944																1879347011																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Evasion	337																							6624						1879347028																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Fate	337						340																							1879347017																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Finesse	337														8922															1879347019																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Healing	337																	7809												1879346983																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Might	337		340																											1879346991																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Parry	337																						6624							1879346986																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Physical Mastery	337															4636														1879347031																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Physical Mitigation	337																								6625					1879347051																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Resistance	337																		4463											1879347013																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Tactical Mastery	337																4636													1879347002																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Tactical Mitigation	337																									6625				1879347030																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Vitality	337				567																									1879346987																																						Essence	*	115		235	3	-1			1	
- Abyssal Essence of Will	337					340																								1879347018																																						Essence	*	115		235	3	-1			1	
- Dark Essence of Agility	300			195																										1879346877																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Block	300																					3807								1879346901																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Critical Defense	300																			4245										1879346909																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Critical Rating	300													1692																1879346882																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Evasion	300																							3807						1879346902																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Fate	300						195																							1879346884																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Finesse	300														5128															1879346908																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Healing	300																	5700												1879346904																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Might	300		195																											1879346879																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Parry	300																						3807							1879346903																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Physical Mastery	300															3384														1879346894																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Physical Mitigation	300																								3808					1879346880																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Resistance	300																		2565											1879346900																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Restoration	300																				3384									1879357715																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Tactical Mastery	300																3384													1879346886																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Tactical Mitigation	300																									3808				1879346888																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Vitality	300				326																									1879346878																																						Essence	*	106		235	4	-1			1	
- Dark Essence of Will	300					195																								1879346889																																						Essence	*	106		235	4	-1			1	
- Empowered Abyssal Essence of Agility	345			371																										1879347003																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Block	345																					7233								1879347032																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Critical Defense	345																			8066										1879347021																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Critical Rating	345													3215																1879347045																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Evasion	345																							7233						1879346989																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Fate	345						371																							1879346990																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Finesse	345														9743															1879346994																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Healing	345																	8265												1879347022																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Might	345		371																											1879347029																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Parry	345																						7233							1879347016																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Physical Mastery	345															4907														1879347001																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Physical Mitigation	345																								7235					1879347008																																						Essence	*	115		235	3	-1			1	
