	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	OutHeal	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	LoE	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes	MinLvl	MaxLvl	CategoryId	QualityId	SlotId	ClassId	EssSlots	SliceTot	SliceChk
- Abyssal Gem of Agility	337			340																7386										1879351147																																						Relics	*	115		109	2	63			2	
- Abyssal Gem of Fate	337						340													7386										1879351106																																						Relics	*	115		109	2	63			2	
- Abyssal Gem of Might	337		340																	7386										1879351119																																						Relics	*	115		109	2	63			2	
- Abyssal Gem of Vitality	337				567															7386										1879351118																																						Relics	*	115		109	2	63			2	
- Abyssal Gem of Will	337					340														7386										1879351141																																						Relics	*	115		109	2	63			2	
- Abyssal Rune of Force	337													1766		4636														1879351133																																						Relics	*	115		109	2	63			1,6	-0,4
- Abyssal Rune of Healing	337													1766				2944												1879351125																																						Relics	*	115		109	2	63			0,6	-1,4
- Abyssal Rune of Power	337													1766			4636													1879351112																																						Relics	*	115		109	2	63			1,6	-0,4
- Abyssal Setting of Brutality	337													2944									3975	2650						1879351115																																						Relics	*	115		109	2	63			2	
- Abyssal Setting of Defence	337																					6624	6624							1879351142																																						Relics	*	115		109	2	63			2	
- Abyssal Setting of Finesse	337														8922									6624						1879351154																																						Relics	*	115		109	2	63			2	
- Abyssal Setting of Resistance	337																		4463							6625				1879351145																																						Relics	*	115		109	2	63			2	
- Expedition Gem of Agility	300			195																4245										1879351151																																						Relics	*			109	2	63			2	
- Expedition Gem of Fate	300						195													4245										1879351146																																						Relics	*			109	2	63			2	
- Expedition Gem of Might	300		195																	4245										1879351126																																						Relics	*			109	2	63			2	
- Expedition Gem of Vitality	300				326															4245										1879351158																																						Relics	*			109	2	63			2	
- Expedition Gem of Will	300					195														4245										1879351128																																						Relics	*			109	2	63			2	
- Expedition Rune of Force	300													1015		3384														1879351149																																						Relics	*			109	2	63			1,6	-0,4
- Expedition Rune of Healing	300													1015				5700												1879351156																																						Relics	*			109	2	63			1,6	-0,4
- Expedition Rune of Power	300													1015			3384													1879351110																																						Relics	*			109	2	63			1,6	-0,4
- Expedition Setting of Brutality	300													1692									2284	1523						1879351086																																						Relics	*			109	2	63			2	
- Expedition Setting of Defence	300																					3807	3807							1879351132																																						Relics	*			109	2	63			2	
- Expedition Setting of Finesse	300														5128									3807						1879351116																																						Relics	*			109	2	63			2	
- Expedition Setting of Resistance	300																		2565							3808				1879351123																																						Relics	*			109	2	63			2	
- Grand Abyssal Gem of Agility	345			371																8066										1879351143																																						Relics	*	115		109	2	63			2	
- Grand Abyssal Gem of Fate	345						371													8066										1879351103																																						Relics	*	115		109	2	63			2	
- Grand Abyssal Gem of Might	345		371																	8066										1879351114																																						Relics	*	115		109	2	63			2	
- Grand Abyssal Gem of Vitality	345				619															8066										1879351113																																						Relics	*	115		109	2	63			2	
- Grand Abyssal Gem of Will	345					371														8066										1879351131																																						Relics	*	115		109	2	63			2	
- Grand Abyssal Rune of Binding	345													2572																1879364550																																						Relics	*	115		109	3	63			0,8	-1,2
