	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	OutHeal	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	LoE	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes	MinLvl	MaxLvl	CategoryId	QualityId	SlotId	ClassId	EssSlots	SliceTot	SliceChk
- Northern Stronghold Essence of Agility	345			446																										1879365776																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Block	345																					8680								1879365789																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Critical Defence	345																			9679										1879365780																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Critical Rating	345													3858																1879365784																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Evasion	345																							8680						1879365790																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Fate	345						446																							1879365791																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Finesse	345														11691															1879365788																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Healing	345																	9918												1879365775																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Might	345		446																											1879365779																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Parry	345																						8680							1879365792																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Physical Mastery	345															5888														1879365785																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Physical Mitigation	345																								8682					1879365777																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Resistance	345																		5848											1879365782																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Restoration	345																				7715,5									1879365783																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Tactical Mastery	345																5888													1879365774																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Tactical Mitigation	345																									8682				1879365786																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Vitality	345				743																									1879365778																																						Essence	*	115		235	1	-1			1,2
- Northern Stronghold Essence of Will	345					446																								1879365781																																						Essence	*	115		235	1	-1			1,2
Agile Leggings of Thranduil's Cunning (1s):	340	11518		634	939															7641				6853			20			1879365545																																						Legs	BuHuWa	115		15	3	3		1	7
Agile Leggings of Thranduil's Power (1s):	340	11518		704	822		422							2436													20			1879365575																																						Legs	BuHuWa	115		15	3	3		1	7
Agile Silver Bracelet of Thranduil's Cunning	345			743	991														4874					7233			18			1879347709																																						Wrists	BuHuWa	115		49	2	2			6,2
Agile Silver Bracelet of Thranduil's Power	345			743	867		520									3925											18			1879347689																																						Wrists	BuHuWa	115		49	2	2			6,2
Alloyed Gold Bracer of Thorin's Memory	345		669		1363																		8680	8680			20			1879347646																																						Wrists	BeCaChGu	115		49	3	2			7
Alloyed Gold Bracer of Thorin's Strength	345		818		991									3215	15588												20			1879347638																																						Wrists	BeCaChGu	115		49	3	2			7
Amethyst Iron Earring of Thranduil's Cunning	345		743		1363		371													9679							20			1879347690																																						Ears	BeCaChGu	115		49	3	5			7
Amethyst Iron Earring of Thranduil's Power	345		818		991									3215		7851											20			1879347743																																						Ears	BeCaChGu	115		49	3	5			7
Amethyst Mithril Ring of Thorin's Memory	345		669		1363															9679						8682	20			1879347746																																						Fingers	BeCaChGu	115		49	3	11			7
